Edad,Media,DesviacionEstandar
1,9.92,1.69
2,9.92,1.69
3,9.92,1.69
4,9.92,1.69
5,9.92,1.69
6,9.92,1.69
7,9.92,1.69
8,9.92,1.69
9,9.92,1.69
10,9.92,1.69
11,9.92,1.69
12,9.92,1.69
13,9.92,1.69
14,9.92,1.69
15,9.92,1.69
16,9.92,1.69
17,9.92,1.69
18,9.92,1.69
19,9.92,1.69
20,9.92,1.69
21,9.92,1.69
22,9.92,1.69
23,9.92,1.69
24,9.92,1.69
25,9.92,1.69
26,9.92,1.69
27,9.92,1.69
28,9.92,1.69
29,9.92,1.69
30,9.92,1.69
31,9.92,1.69
32,9.92,1.69
33,9.92,1.69
34,9.92,1.69
35,9.92,1.69
36,9.92,1.69
37,9.92,1.69
38,9.92,1.69
39,9.92,1.69
40,9.92,1.69
41,9.92,1.69
42,9.92,1.69
43,9.92,1.69
44,9.92,1.69
45,9.92,1.69
46,9.88,1.04
47,9.88,1.04
48,9.88,1.04
49,9.88,1.04
50,9.88,1.04
51,9.88,1.04
52,9.88,1.04
53,9.88,1.04
54,9.88,1.04
55,9.88,1.04
56,9.27,1.79
57,9.27,1.79
58,9.27,1.79
59,9.27,1.79
60,9.27,1.79
61,9.27,1.79
62,9.27,1.79
63,9.27,1.79
64,9.27,1.79
65,9.27,1.79
66,8.96,1.54
67,8.96,1.54
68,8.96,1.54
69,8.96,1.54
70,8.96,1.54
71,8.96,1.54
72,8.96,1.54
73,8.96,1.54
74,8.96,1.54
75,8.96,1.54
76,7.82,1.62
77,7.82,1.62
78,7.82,1.62
79,7.82,1.62
80,7.82,1.62
81,7.82,1.62
82,7.82,1.62
83,7.82,1.62
84,7.82,1.62
85,7.82,1.62
86,6.8,1.09
87,6.8,1.09
88,6.8,1.09
89,6.8,1.09
90,6.8,1.09
91,6.8,1.09
92,6.8,1.09
93,6.8,1.09
94,6.8,1.09
95,6.8,1.09
96,6.8,1.09
97,6.8,1.09
98,6.8,1.09
