Edad,Media,DesviacionEstandar
1,11.85,0.47
2,11.85,0.47
3,11.85,0.47
4,11.85,0.47
5,11.85,0.47
6,11.85,0.47
7,11.85,0.47
8,11.85,0.47
9,11.85,0.47
10,11.85,0.47
11,11.85,0.47
12,11.85,0.47
13,11.85,0.47
14,11.85,0.47
15,11.85,0.47
16,11.85,0.47
17,11.85,0.47
18,11.85,0.47
19,11.85,0.47
20,11.85,0.47
21,11.85,0.47
22,11.85,0.47
23,11.85,0.47
24,11.85,0.47
25,11.85,0.47
26,11.85,0.47
27,11.85,0.47
28,11.85,0.47
29,11.85,0.47
30,11.85,0.47
31,11.85,0.47
32,11.85,0.47
33,11.85,0.47
34,11.85,0.47
35,11.85,0.47
36,11.85,0.47
37,11.85,0.47
38,11.85,0.47
39,11.85,0.47
40,11.85,0.47
41,11.85,0.47
42,11.85,0.47
43,11.85,0.47
44,11.85,0.47
45,11.85,0.47
46,11.91,0.29
47,11.91,0.29
48,11.91,0.29
49,11.91,0.29
50,11.91,0.29
51,11.91,0.29
52,11.91,0.29
53,11.91,0.29
54,11.91,0.29
55,11.91,0.29
56,11.7,0.53
57,11.7,0.53
58,11.7,0.53
59,11.7,0.53
60,11.7,0.53
61,11.7,0.53
62,11.7,0.53
63,11.7,0.53
64,11.7,0.53
65,11.7,0.53
66,11.69,0.7
67,11.69,0.7
68,11.69,0.7
69,11.69,0.7
70,11.69,0.7
71,11.69,0.7
72,11.69,0.7
73,11.69,0.7
74,11.69,0.7
75,11.69,0.7
76,11.43,0.81
77,11.43,0.81
78,11.43,0.81
79,11.43,0.81
80,11.43,0.81
81,11.43,0.81
82,11.43,0.81
83,11.43,0.81
84,11.43,0.81
85,11.43,0.81
86,11,1.73
87,11,1.73
88,11,1.73
89,11,1.73
90,11,1.73
91,11,1.73
92,11,1.73
93,11,1.73
94,11,1.73
95,11,1.73
96,11,1.73
97,11,1.73
98,11,1.73
