Edad,Media,DesviacionEstandar
1,9.22,2.07
2,9.22,2.07
3,9.22,2.07
4,9.22,2.07
5,9.22,2.07
6,9.22,2.07
7,9.22,2.07
8,9.22,2.07
9,9.22,2.07
10,9.22,2.07
11,9.22,2.07
12,9.22,2.07
13,9.22,2.07
14,9.22,2.07
15,9.22,2.07
16,9.22,2.07
17,9.22,2.07
18,9.22,2.07
19,9.22,2.07
20,9.22,2.07
21,9.22,2.07
22,9.22,2.07
23,9.22,2.07
24,9.22,2.07
25,9.22,2.07
26,9.22,2.07
27,9.22,2.07
28,9.22,2.07
29,9.22,2.07
30,9.22,2.07
31,9.22,2.07
32,9.22,2.07
33,9.22,2.07
34,9.22,2.07
35,9.22,2.07
36,9.22,2.07
37,9.22,2.07
38,9.22,2.07
39,9.22,2.07
40,9.22,2.07
41,9.22,2.07
42,9.22,2.07
43,9.22,2.07
44,9.22,2.07
45,9.22,2.07
46,8.97,1.9
47,8.97,1.9
48,8.97,1.9
49,8.97,1.9
50,8.97,1.9
51,8.97,1.9
52,8.97,1.9
53,8.97,1.9
54,8.97,1.9
55,8.97,1.9
56,8.83,1.63
57,8.83,1.63
58,8.83,1.63
59,8.83,1.63
60,8.83,1.63
61,8.83,1.63
62,8.83,1.63
63,8.83,1.63
64,8.83,1.63
65,8.83,1.63
66,8.75,1.5
67,8.75,1.5
68,8.75,1.5
69,8.75,1.5
70,8.75,1.5
71,8.75,1.5
72,8.75,1.5
73,8.75,1.5
74,8.75,1.5
75,8.75,1.5
76,7.7,1.22
77,7.7,1.22
78,7.7,1.22
79,7.7,1.22
80,7.7,1.22
81,7.7,1.22
82,7.7,1.22
83,7.7,1.22
84,7.7,1.22
85,7.7,1.22
86,7.25,0.61
87,7.25,0.61
88,7.25,0.61
89,7.25,0.61
90,7.25,0.61
91,7.25,0.61
92,7.25,0.61
93,7.25,0.61
94,7.25,0.61
95,7.25,0.61
96,7.25,0.61
97,7.25,0.61
98,7.25,0.61
