Edad,Media,DesviacionEstandar
1,9.19,2.12
2,9.19,2.12
3,9.19,2.12
4,9.19,2.12
5,9.19,2.12
6,9.19,2.12
7,9.19,2.12
8,9.19,2.12
9,9.19,2.12
10,9.19,2.12
11,9.19,2.12
12,9.19,2.12
13,9.19,2.12
14,9.19,2.12
15,9.19,2.12
16,9.19,2.12
17,9.19,2.12
18,9.19,2.12
19,9.19,2.12
20,9.19,2.12
21,9.19,2.12
22,9.19,2.12
23,9.19,2.12
24,9.19,2.12
25,9.19,2.12
26,9.19,2.12
27,9.19,2.12
28,9.19,2.12
29,9.19,2.12
30,9.19,2.12
31,9.19,2.12
32,9.19,2.12
33,9.19,2.12
34,9.19,2.12
35,9.19,2.12
36,9.19,2.12
37,9.19,2.12
38,9.19,2.12
39,9.19,2.12
40,9.19,2.12
41,9.19,2.12
42,9.19,2.12
43,9.19,2.12
44,9.19,2.12
45,9.19,2.12
46,9.07,1.83
47,9.07,1.83
48,9.07,1.83
49,9.07,1.83
50,9.07,1.83
51,9.07,1.83
52,9.07,1.83
53,9.07,1.83
54,9.07,1.83
55,9.07,1.83
56,8.91,1.54
57,8.91,1.54
58,8.91,1.54
59,8.91,1.54
60,8.91,1.54
61,8.91,1.54
62,8.91,1.54
63,8.91,1.54
64,8.91,1.54
65,8.91,1.54
66,9.12,1.33
67,9.12,1.33
68,9.12,1.33
69,9.12,1.33
70,9.12,1.33
71,9.12,1.33
72,9.12,1.33
73,9.12,1.33
74,9.12,1.33
75,9.12,1.33
76,7.91,1.31
77,7.91,1.31
78,7.91,1.31
79,7.91,1.31
80,7.91,1.31
81,7.91,1.31
82,7.91,1.31
83,7.91,1.31
84,7.91,1.31
85,7.91,1.31
86,7.58,0.74
87,7.58,0.74
88,7.58,0.74
89,7.58,0.74
90,7.58,0.74
91,7.58,0.74
92,7.58,0.74
93,7.58,0.74
94,7.58,0.74
95,7.58,0.74
96,7.58,0.74
97,7.58,0.74
98,7.58,0.74
