Edad,Media,DesviacionEstandar
1,8.97,1.87
2,8.97,1.87
3,8.97,1.87
4,8.97,1.87
5,8.97,1.87
6,8.97,1.87
7,8.97,1.87
8,8.97,1.87
9,8.97,1.87
10,8.97,1.87
11,8.97,1.87
12,8.97,1.87
13,8.97,1.87
14,8.97,1.87
15,8.97,1.87
16,8.97,1.87
17,8.97,1.87
18,8.97,1.87
19,8.97,1.87
20,8.97,1.87
21,8.97,1.87
22,8.97,1.87
23,8.97,1.87
24,8.97,1.87
25,8.97,1.87
26,8.97,1.87
27,8.97,1.87
28,8.97,1.87
29,8.97,1.87
30,8.97,1.87
31,8.97,1.87
32,8.97,1.87
33,8.97,1.87
34,8.97,1.87
35,8.97,1.87
36,8.97,1.87
37,8.97,1.87
38,8.97,1.87
39,8.97,1.87
40,8.97,1.87
41,8.97,1.87
42,8.97,1.87
43,8.97,1.87
44,8.97,1.87
45,8.97,1.87
46,9.16,1.67
47,9.16,1.67
48,9.16,1.67
49,9.16,1.67
50,9.16,1.67
51,9.16,1.67
52,9.16,1.67
53,9.16,1.67
54,9.16,1.67
55,9.16,1.67
56,8.23,1.83
57,8.23,1.83
58,8.23,1.83
59,8.23,1.83
60,8.23,1.83
61,8.23,1.83
62,8.23,1.83
63,8.23,1.83
64,8.23,1.83
65,8.23,1.83
66,7.89,1.7
67,7.89,1.7
68,7.89,1.7
69,7.89,1.7
70,7.89,1.7
71,7.89,1.7
72,7.89,1.7
73,7.89,1.7
74,7.89,1.7
75,7.89,1.7
76,6.86,1.45
77,6.86,1.45
78,6.86,1.45
79,6.86,1.45
80,6.86,1.45
81,6.86,1.45
82,6.86,1.45
83,6.86,1.45
84,6.86,1.45
85,6.86,1.45
86,5.8,1.09
87,5.8,1.09
88,5.8,1.09
89,5.8,1.09
90,5.8,1.09
91,5.8,1.09
92,5.8,1.09
93,5.8,1.09
94,5.8,1.09
95,5.8,1.09
96,5.8,1.09
97,5.8,1.09
98,5.8,1.09
